                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 1.1028,                0.43373,                 1.1154,                0.99835,                      1,                  0.995,                0.65217,                  1.168,                0.36937,                 1.2167,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.0996,                0.43305,                 1.1179,                0.99411,                      1,                  0.995,                0.65007,                   1.17,                0.35633,                 1.2161,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.0879,                 0.3666,                 1.1743,                0.99825,                      1,                  0.995,                0.65659,                 1.1654,                0.37067,                 1.2171,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.0792,                 0.3638,                 1.1714,                0.99831,                      1,                  0.995,                0.65117,                  1.168,                 0.3715,                 1.2225,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.0737,                0.35852,                 1.1667,                0.99832,                      1,                  0.995,                 0.6584,                 1.1762,                0.36316,                 1.2187,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.0692,                0.35123,                 1.1628,                0.99828,                      1,                  0.995,                 0.6509,                 1.1722,                0.36293,                  1.219,             0.00024772,             0.00024772,             0.00024772
                     45,                  1.067,                0.35195,                 1.1593,                0.99833,                      1,                  0.995,                0.64503,                 1.1882,                0.36305,                 1.2271,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.0612,                0.34872,                 1.1643,                 0.9984,                      1,                  0.995,                0.65085,                 1.1905,                0.35887,                 1.2293,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.0523,                0.34842,                 1.1688,                0.99841,                      1,                  0.995,                0.64673,                 1.2164,                0.35889,                 1.2355,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.0553,                0.34189,                 1.1528,                0.99851,                      1,                  0.995,                0.67033,                 1.1711,                0.34787,                 1.2203,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.0406,                0.33917,                   1.15,                0.99843,                      1,                  0.995,                0.67215,                 1.1711,                0.34961,                 1.2229,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.0432,                0.33991,                 1.1523,                0.99849,                      1,                  0.995,                 0.6642,                 1.1769,                0.35074,                 1.2264,             4.9677e-05,             4.9677e-05,             4.9677e-05
