                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3283,                 1.9591,                 1.2949,                0.99138,                0.97297,                0.98885,                0.60236,                 1.2517,                  1.713,                  1.311,              0.0005517,              0.0005517,              0.0005517
                      2,                 1.2746,                  1.078,                 1.2284,                0.98645,                0.97919,                0.99321,                0.61448,                 1.1955,                0.95574,                 1.2563,              0.0010854,              0.0010854,              0.0010854
                      3,                 1.3105,                0.84944,                 1.2327,                0.99968,                0.99897,                  0.995,                0.59101,                 1.2671,                0.78007,                 1.2893,              0.0015972,              0.0015972,              0.0015972
                      4,                 1.2584,                0.69861,                 1.1994,                0.99187,                      1,                  0.995,                0.62025,                 1.2246,                0.58802,                 1.2494,               0.001568,               0.001568,               0.001568
                      5,                 1.2736,                0.66073,                 1.2112,                0.99093,                0.98649,                0.99322,                0.60345,                 1.2281,                0.52535,                 1.2636,               0.001535,               0.001535,               0.001535
                      6,                 1.2608,                 0.6157,                 1.1992,                 0.9982,                      1,                  0.995,                0.62262,                 1.2262,                0.48971,                 1.2523,               0.001502,               0.001502,               0.001502
                      7,                 1.2484,                 0.5817,                 1.1971,                0.99815,                      1,                  0.995,                0.63654,                 1.1987,                0.49716,                 1.2353,               0.001469,               0.001469,               0.001469
                      8,                 1.2347,                0.56439,                 1.1795,                 0.9825,                      1,                  0.995,                0.60693,                 1.2046,                0.48214,                 1.2397,               0.001436,               0.001436,               0.001436
                      9,                 1.2338,                0.55963,                 1.1829,                 0.9976,                0.99958,                  0.995,                0.63445,                  1.216,                0.45443,                 1.2357,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.2323,                0.55581,                 1.1819,                0.99822,                      1,                  0.995,                0.64037,                  1.216,                0.42983,                 1.2448,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.2306,                0.54487,                 1.1772,                0.99799,                      1,                  0.995,                0.62214,                 1.2079,                0.44008,                 1.2357,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.2201,                0.54495,                 1.1832,                0.99777,                      1,                  0.995,                0.64834,                 1.1882,                0.43357,                 1.2293,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.2063,                0.52817,                 1.1683,                0.99775,                      1,                  0.995,                0.65539,                 1.2101,                 0.4343,                 1.2318,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.2056,                0.52884,                 1.1692,                0.99776,                0.99958,                  0.995,                0.65782,                 1.1948,                0.42075,                 1.2392,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.1915,                0.51526,                 1.1654,                0.99848,                      1,                  0.995,                0.63649,                 1.2168,                 0.4407,                 1.2327,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.1969,                 0.5101,                 1.1655,                0.99779,                      1,                  0.995,                0.62685,                 1.2043,                0.41831,                 1.2228,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.1876,                 0.5117,                 1.1537,                0.98518,                0.99561,                0.98368,                0.60498,                 1.2075,                0.46083,                 1.2484,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.1772,                0.50497,                 1.1524,                0.99802,                      1,                  0.995,                0.65857,                 1.1768,                0.41789,                 1.2297,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.1726,                0.49974,                 1.1524,                0.99823,                      1,                  0.995,                0.61567,                 1.2182,                0.41598,                 1.2465,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.1644,                0.49038,                 1.1491,                0.99798,                      1,                  0.995,                0.65041,                 1.1632,                0.41484,                 1.2125,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.1868,                0.48985,                 1.1626,                0.99656,                      1,                  0.995,                0.64017,                 1.1858,                0.40113,                 1.2239,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.1767,                0.49177,                 1.1528,                0.99798,                      1,                  0.995,                0.65256,                 1.1802,                0.39372,                 1.2236,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.1689,                0.48538,                 1.1532,                0.99844,                      1,                  0.995,                0.64142,                 1.1992,                0.40641,                  1.234,             0.00094085,             0.00094085,             0.00094085
                     24,                  1.166,                0.47776,                 1.1438,                0.99775,                      1,                  0.995,                0.66494,                 1.1498,                0.38023,                 1.2039,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.1575,                 0.4785,                 1.1397,                0.99451,                      1,                  0.995,                0.63929,                 1.1643,                 0.3859,                 1.2138,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.1494,                 0.4774,                 1.1357,                0.99823,                      1,                  0.995,                0.65093,                 1.1934,                0.39483,                 1.2258,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.1529,                0.47133,                 1.1474,                0.99834,                      1,                  0.995,                 0.6512,                 1.1717,                0.38002,                 1.2141,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.1496,                0.46623,                 1.1375,                0.99819,                      1,                  0.995,                0.64122,                 1.1774,                0.39015,                 1.2206,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.1575,                0.47072,                 1.1464,                0.99741,                      1,                  0.995,                0.65657,                 1.1738,                0.37484,                 1.2257,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.1314,                0.45717,                 1.1291,                0.99827,                      1,                  0.995,                0.67941,                 1.1546,                0.37561,                 1.2078,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.1478,                0.45653,                 1.1467,                0.99807,                      1,                  0.995,                0.65523,                 1.1632,                0.38048,                 1.2143,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.1389,                0.45892,                 1.1313,                0.99816,                      1,                  0.995,                0.65224,                 1.1631,                 0.3806,                 1.2191,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.1227,                0.45501,                 1.1291,                0.98565,                0.99657,                0.99118,                0.64563,                 1.1766,                0.38987,                 1.2235,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.1265,                0.45191,                 1.1368,                0.99823,                      1,                  0.995,                0.66894,                 1.1664,                0.36061,                 1.2101,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.1192,                0.45104,                 1.1292,                0.99796,                      1,                  0.995,                0.66635,                 1.1512,                 0.3698,                 1.2072,             0.00054478,             0.00054478,             0.00054478
                     36,                  1.106,                0.43662,                 1.1286,                0.99836,                      1,                  0.995,                0.66964,                 1.1654,                0.36108,                 1.2102,             0.00051177,             0.00051177,             0.00051177
                     37,                  1.108,                0.44053,                 1.1254,                0.99693,                      1,                  0.995,                0.67748,                 1.1584,                0.36076,                 1.2114,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.1075,                0.43894,                 1.1288,                0.99843,                      1,                  0.995,                0.67305,                 1.1475,                0.35691,                 1.2047,             0.00044576,             0.00044576,             0.00044576
